Date;ActiveUsersMonthly;MarketCapFullyDiluted;Price;Fees;Ecosystem fees
01.08.2015;5717.76;158034198.35;янв.38;;
01.09.2015;5767.97;116008831.07;0.96;;
01.10.2015;3864.23;80742487.30;0.67;;
01.11.2015;4360.40;111049452.50;0.92;;
01.12.2015;4573.13;106868649.61;0.89;;
01.01.2016;6670.58;182941370.04;янв.52;;
01.02.2016;15912.00;563763610.28;апр.69;;
01.03.2016;40649.94;1353320187.81;ноя.25;;
01.04.2016;37727.17;1068134698.30;авг.88;;
01.05.2016;58824.68;1382621536.58;ноя.50;;
01.06.2016;91897.53;1716856108.51;14.28;;
01.07.2016;93198.16;1417849356.16;ноя.79;;
01.08.2016;111943.03;1335160799.86;11.окт;;
01.09.2016;82799.40;1502145335.76;дек.49;;
01.10.2016;85120.81;1440163175.23;ноя.98;;
01.11.2016;98996.33;1188016851.57;сен.88;;
01.12.2016;120161.87;937683216.50;июл.80;;
01.01.2017;91342.42;1228444423.11;окт.22;;
01.02.2017;87850.82;1513026011.34;дек.58;;
01.03.2017;189696.42;4227958548.18;35.16;;
01.04.2017;309590.07;6210672747.55;51.65;;0.00
01.05.2017;413866.29;15409929532.08;128.14;;0.00
01.06.2017;915156.80;37158815513.50;309.00;;0.00
01.07.2017;1209076.39;26494007656.25;220.31;;0.00
01.08.2017;1279669.94;36696802965.95;305.16;;0.00
01.09.2017;1689203.03;34797657960.00;289.36;;0.00
01.10.2017;1525960.84;36708711200.12;305.25;;0.00
01.11.2017;1907822.20;43874731777.26;364.84;;0.00
01.12.2017;3476200.97;78576091299.83;653.41;12077939.44;0.00
01.01.2018;6647159.42;135681496681.22;1128.27;68246978.08;0.00
01.02.2018;5437570.75;103967401542.12;864.55;18185941.10;0.00
01.03.2018;3640499.74;74687199072.01;621.07;8881462.23;0.00
01.04.2018;3213267.47;62126436557.58;516.62;6168158.92;1101.05
01.05.2018;3951493.84;80869220804.60;672.48;13250208.25;1198.30
01.06.2018;3942528.13;61910969101.66;514.83;8885939.46;267.90
01.07.2018;3391829.94;55267668403.81;459.58;20993760.55;803.81
01.08.2018;3393052.19;38542546545.59;320.50;7634858.51;500.76
01.09.2018;2929065.87;27328557332.32;227.25;3304934.29;1370.59
01.10.2018;2476253.16;25305403730.57;210.43;2750080.65;1450.37
