Date;MarketCapFullyDiluted;ActiveUsersMonthly
01.11.2017;10065.05;2.00
01.12.2017;10120.11;2.580
01.01.2018;25225413.86;11.230
01.02.2018;60059617.53;171.86
01.03.2018;60049700.47;194.68
01.04.2018;60000286.62;286.43
01.05.2018;60042490.12;680.42
01.06.2018;60080912.02;591.50
01.07.2018;58819130.08;1424.10
01.08.2018;15036093.94;969.84
01.09.2018;23674007.39;769.53
01.10.2018;34190823.40;966.19
01.11.2018;24821131.65;775.37
01.12.2018;25009840.06;1251.74
01.01.2019;25099585.22;1027.39
01.02.2019;32501625.14;763.32
01.03.2019;57651357.23;1352.35
01.04.2019;207635088.87;5869.60
01.05.2019;419535639.73;17324.03
01.06.2019;808203168.94;58703.90
01.07.2019;1407338376.63;143077.10
01.08.2019;1624052028.71;296246.55
01.09.2019;1928060835.67;522320.43
01.10.2019;2257565530.73;559457.19
01.11.2019;2770122581.88;498225.63
01.12.2019;3068665199.43;472324.87
01.01.2020;3101989489.43;403698.13
01.02.2020;3123168251.63;424876.00
01.03.2020;4082723252.03;595214.03
01.04.2020;5682781596.72;738493.50
01.05.2020;7500258035.29;906477.68
01.06.2020;8399376265.67;1337613.53
01.07.2020;8996617283.54;1566659.71
01.08.2020;11353703592.04;1430571.19
01.09.2020;13825633630.62;1550539.70
01.10.2020;14901088190.69;1939152.77
01.11.2020;16936282324.33;2014235.50
01.12.2020;19124100354.33;1829809.84
01.01.2021;23351617842.90;1953625.19
01.02.2021;31207110449.72;2189031.96
01.03.2021;38096428890.99;2975965.29
01.04.2021;46712466051.79;3986178.67
01.05.2021;57302081047.90;5009234.65
01.06.2021;62357340822.28;5795898.47
01.07.2021;61861142311.91;4153360.06
01.08.2021;63419472289.38;4621173.87
01.09.2021;69006152394.71;5251044.93
01.10.2021;69148047591.79;5762068.13
01.11.2021;73082627466.39;7677095.37
01.12.2021;76018576147.56;7993919.48
01.01.2022;76454726947.88;6957377.68
01.02.2022;76985900101.76;6597232.50
01.03.2022;78619247588.14;6734637.48
01.04.2022;80590081289.41;7617025.23
01.05.2022;76738182965.06;8700382.81
01.06.2022;70029627143.12;7813304.57
01.07.2022;64141966371.50;7924884.87
01.08.2022;64995100177.00;7911041.48
01.09.2022;65691401595.48;7972118.43
01.10.2022;66125809756.94;8556364.71
01.11.2022;66855436249.50;9664055.13
01.12.2022;67492839457.89;13035263.03
01.01.2023;68069191348.18;9879610.55
01.02.2023;68909021624.36;9783700.36
01.03.2023;75382716698.25;9745855.87
01.04.2023;80518385512.10;11390672.20
01.05.2023;82381807785.82;12379615.81
01.06.2023;83307471201.76;13558904.30
01.07.2023;82839446461.28;12318880.87
01.08.2023;82837184400.73;12792752.23
01.09.2023;82372922330.35;11970497.07
01.10.2023;83266374002.53;13128875.03
01.11.2023;86802745113.08;13850727.47
01.12.2023;90053190177.87;13148656.10
01.01.2024;94195837646.38;12987465.81
01.02.2024;96551732745.41;13403890.86
01.03.2024;102240869106.97;16588907.97
01.04.2024;108012741491.53;16849639.83
01.05.2024;110571192960.69;16758151.35
01.06.2024;111735380481.07;17242878.67
01.07.2024;112543826853.78;16558897.68
01.08.2024;115745851486.46;15234839.97
01.09.2024;118257070279.48;15898319.13
01.10.2024;118854397559.58;17061006.39
01.11.2024;126980594896.99;17697382.60
01.12.2024;139515111058.47;19359705.10
01.01.2025;137509561631.90;20022285.42
01.02.2025;139935626094.39;19130084.79
01.03.2025;141755750287.95;20720700.94
01.04.2025;142258959987.56;21592694.00
