Date;ActiveUsersMonthly;MarketCapFullyDiluted;Price
14.09.2020;198552.29;4988799746.68;апр.99
21.09.2020;236400.43;4615185897.92;апр.62
28.09.2020;258303.29;4072452610.77;04.июл
05.10.2020;276522.29;3194973046.45;мар.19
12.10.2020;286802.14;3196333857.76;мар.20
19.10.2020;269995.43;2958299797.50;фев.96
26.10.2020;272415.00;2540068357.76;фев.54
02.11.2020;273476.71;2347282142.45;фев.35
09.11.2020;269832.71;3312543316.78;мар.31
16.11.2020;269859.71;3706678081.76;мар.71
23.11.2020;267493.29;3662837562.42;мар.66
30.11.2020;262358.71;3717775920.84;мар.72
07.12.2020;270693.14;3296356265.53;мар.30
14.12.2020;274843.00;3648518916.07;мар.65
21.12.2020;282660.71;3518839994.16;мар.52
28.12.2020;305630.43;4536089227.69;апр.54
04.01.2021;315229.57;6067097479.62;06.июл
11.01.2021;319399.86;6917847420.57;июн.92
18.01.2021;331394.00;9213893872.56;сен.21
25.01.2021;333217.14;15265215093.68;15.27
01.02.2021;348453.00;19778907657.78;19.78
08.02.2021;371924.14;20911009261.04;20.91
15.02.2021;398586.86;23028402194.39;23.мар
22.02.2021;416553.57;24282852872.24;24.28
01.03.2021;428868.71;28070981091.06;28.июл
08.03.2021;449435.43;31836730324.20;31.84
15.03.2021;476133.57;31370287357.36;31.37
22.03.2021;503640.00;29031560562.16;29.мар
29.03.2021;533125.57;29276455319.63;29.28
05.04.2021;559518.29;30015735977.63;30.02
12.04.2021;579000.00;35565580878.62;35.57
19.04.2021;644415.71;32577450865.13;32.58
26.04.2021;700450.00;40638904510.70;40.64
03.05.2021;775630.43;41079385421.31;41.08
10.05.2021;946687.00;37594095136.88;37.59
17.05.2021;1025679.43;25357830681.14;25.36
24.05.2021;1034229.14;26060616121.34;26.июн
31.05.2021;1028796.00;27159993650.75;27.16
07.06.2021;912498.71;23263397611.55;23.26
14.06.2021;793372.71;21842519936.96;21.84
21.06.2021;741887.86;16781913943.69;16.78
28.06.2021;699581.29;18874340345.02;18.87
05.07.2021;667060.14;21074423855.23;21.июл
12.07.2021;634789.00;17410918279.80;17.41
19.07.2021;608011.71;17149673951.58;17.15
26.07.2021;596108.14;20127626853.11;20.13
02.08.2021;578733.57;24852655801.36;24.85
09.08.2021;559773.43;29319086536.35;29.32
16.08.2021;554144.57;27900019561.93;27.90
23.08.2021;550839.00;27062309299.33;27.июн
30.08.2021;526696.86;29165256745.20;29.17
06.09.2021;520275.57;24090437971.67;24.сен
13.09.2021;547734.14;24968268760.38;24.97
20.09.2021;548105.43;20832702269.57;20.83
27.09.2021;551734.43;24239278634.56;24.24
04.10.2021;568679.86;25151285450.63;25.15
11.10.2021;576066.71;25364075893.70;25.36
18.10.2021;596615.86;26177349495.98;26.18
25.10.2021;694521.71;25399700387.87;25.40
01.11.2021;802334.29;25828722691.11;25.83
08.11.2021;881947.57;25372590213.63;25.37
15.11.2021;931866.14;21885141064.50;21.89
22.11.2021;924407.29;20595795855.26;20.60
29.11.2021;867074.29;19786905351.98;19.79
06.12.2021;795904.00;16647549784.29;16.65
13.12.2021;720190.57;14904301515.82;14.90
20.12.2021;700599.71;16821604636.31;16.82
27.12.2021;764856.57;17917595541.03;17.92
03.01.2022;787754.14;16814820895.26;16.81
10.01.2022;791554.57;16169205060.44;16.17
17.01.2022;787248.57;13960135059.87;13.96
24.01.2022;718335.29;10695959789.63;окт.70
31.01.2022;661907.14;11137811849.62;ноя.14
07.02.2022;651327.29;11410881643.66;ноя.41
14.02.2022;652616.14;10479302451.31;окт.48
21.02.2022;654015.29;9026198932.06;09.мар
28.02.2022;656447.43;9538354332.52;сен.54
07.03.2022;648547.86;8609906803.76;авг.61
14.03.2022;632605.57;9168446946.46;сен.17
21.03.2022;629830.29;10337904315.30;окт.34
28.03.2022;661311.71;11454683019.33;ноя.45
04.04.2022;675688.71;10394932434.12;окт.39
11.04.2022;688013.57;9453585389.37;сен.45
18.04.2022;690600.29;9095964625.24;09.окт
25.04.2022;703079.29;7809017328.15;июл.81
02.05.2022;710443.86;7289769588.67;июл.29
09.05.2022;717283.86;5338242688.72;май.34
16.05.2022;716624.14;5214222225.54;май.21
23.05.2022;685807.71;5204364465.33;май.20
30.05.2022;656194.00;5303030969.86;май.30
06.06.2022;630227.71;4887433843.59;апр.89
13.06.2022;595295.86;3929433837.32;мар.93
20.06.2022;578829.43;5207832216.76;май.21
27.06.2022;582189.14;4994850854.46;апр.99
04.07.2022;553538.29;5753797712.80;май.75
11.07.2022;532876.71;6484576191.73;июн.48
18.07.2022;535229.29;7126546615.19;июл.13
25.07.2022;516529.14;8175426193.66;авг.18
01.08.2022;530623.29;8725403061.78;авг.73
08.08.2022;556868.57;8929970459.15;авг.93
15.08.2022;577725.29;7654454155.35;июл.65
22.08.2022;585185.43;6594697277.43;июн.59
29.08.2022;593368.71;6302297595.67;июн.30
05.09.2022;604479.00;6340638429.00;июн.34
12.09.2022;596974.14;6010018378.97;06.янв
19.09.2022;609687.00;5611544442.21;май.61
26.09.2022;622595.86;6335335696.27;июн.34
03.10.2022;627321.43;6693527299.83;июн.69
10.10.2022;620953.00;6147072023.03;июн.15
17.10.2022;612389.29;6292070925.80;июн.29
24.10.2022;645136.43;6728485506.72;июн.73
31.10.2022;687786.71;7204234048.42;июл.20
07.11.2022;738006.57;5881512081.36;май.88
14.11.2022;787892.29;5877365886.87;май.88
21.11.2022;802798.71;5379763378.69;май.38
28.11.2022;788796.43;5892999986.41;май.89
05.12.2022;768217.71;6102760452.83;06.окт
12.12.2022;751001.57;5676091889.90;май.68
19.12.2022;749818.57;5247915712.89;май.25
26.12.2022;741902.57;5126313462.58;май.13
02.01.2023;744476.00;5450795657.89;май.45
09.01.2023;782643.14;6173648272.51;июн.17
16.01.2023;801712.57;6480396324.65;июн.48
23.01.2023;794819.43;6685901671.22;июн.69
30.01.2023;802190.57;6889395683.82;июн.89
06.02.2023;808224.29;6566426988.55;июн.57
13.02.2023;798839.43;6739728539.84;июн.74
20.02.2023;824836.29;6837617845.87;июн.84
27.02.2023;854198.71;6454067336.79;июн.45
06.03.2023;863277.14;5944999079.37;май.94
13.03.2023;894315.14;6262384160.82;июн.26
20.03.2023;977457.71;6075244411.54;06.авг
27.03.2023;1080948.43;5921939617.41;май.92
03.04.2023;1171915.57;6034839982.55;06.мар
10.04.2023;1283188.43;6143957272.51;июн.14
17.04.2023;1395915.29;5779927334.53;май.78
24.04.2023;1472513.00;5479941375.76;май.48
01.05.2023;1576998.29;5350220031.76;май.35
08.05.2023;1657170.29;5079949577.47;05.авг
15.05.2023;1672869.71;5230836860.34;май.23
22.05.2023;1681163.86;5036158539.06;05.апр
29.05.2023;1729253.57;5059703880.33;05.июн
05.06.2023;1705483.71;4487221170.73;апр.49
12.06.2023;1676725.14;4422785268.21;апр.42
19.06.2023;1674941.43;4800368346.88;апр.80
26.06.2023;1659228.86;5244672201.40;май.24
03.07.2023;1659698.86;5383619479.32;май.38
10.07.2023;1645448.71;5571301096.84;май.57
17.07.2023;1643204.14;6004073673.14;6.00
24.07.2023;1626523.71;6005621341.74;06.янв
31.07.2023;1580517.86;6219707401.39;июн.22
07.08.2023;1548968.29;6128317016.62;июн.13
14.08.2023;1510330.71;5337440915.30;май.34
21.08.2023;1477548.57;4668922532.88;апр.67
28.08.2023;1418574.14;4506339892.17;апр.51
04.09.2023;1341290.29;4379279348.45;апр.38
11.09.2023;1264556.86;4256240017.98;апр.26
18.09.2023;1198089.00;4305960307.33;апр.31
25.09.2023;1174357.14;4387247012.65;апр.39
02.10.2023;1185420.14;4365353207.02;апр.37
09.10.2023;1197269.57;4083845048.48;04.авг
16.10.2023;1204138.71;4032221634.17;04.мар
23.10.2023;1240766.00;4160883262.89;апр.16
30.10.2023;1264595.29;4561674642.11;апр.56
06.11.2023;1294984.57;5213532300.51;май.21
13.11.2023;1325236.71;5183065874.75;май.18
20.11.2023;1351875.29;5869399536.03;май.87
27.11.2023;1367542.71;6092745721.53;06.сен
04.12.2023;1414200.43;6372790185.72;июн.37
11.12.2023;1453482.00;6174896817.03;июн.17
18.12.2023;1509512.71;6207180078.07;июн.21
25.12.2023;1602877.86;7353744442.21;июл.35
01.01.2024;1642375.57;6642172946.06;июн.64
08.01.2024;1643963.71;6453884404.91;июн.45
15.01.2024;1694215.57;6540645095.95;июн.54
22.01.2024;1690656.14;5910050711.36;май.91
29.01.2024;1681676.43;6095255946.07;06.окт
05.02.2024;1686241.57;6420940299.22;июн.42
12.02.2024;1688494.71;7250676505.01;июл.25
19.02.2024;1723034.00;9087620013.72;09.сен
26.02.2024;1779953.43;11478354067.61;ноя.48
04.03.2024;1913928.43;14118945167.62;14.дек
11.03.2024;2082819.86;13451523417.16;13.45
18.03.2024;2284428.71;11717087669.80;ноя.72
25.03.2024;2594239.57;12627581745.95;дек.63
01.04.2024;2932830.43;11314035096.70;ноя.31
08.04.2024;3160901.71;9206201819.40;сен.21
15.04.2024;3218124.00;7389478146.65;июл.39
22.04.2024;3192261.43;7904919852.62;июл.90
29.04.2024;3035808.00;7370213174.86;июл.37
06.05.2024;2808592.57;7276829119.22;июл.28
13.05.2024;2658445.86;7349506515.58;июл.35
20.05.2024;2561847.29;9996669847.50;10.00
27.05.2024;2612483.43;10383086546.77;окт.38
03.06.2024;2846465.29;10344867439.93;окт.34
10.06.2024;3273399.71;10485713463.33;окт.49
17.06.2024;4260350.43;9958053043.43;сен.96
24.06.2024;5377276.71;9256618556.81;сен.26
01.07.2024;6745658.43;8269910400.46;авг.27
08.07.2024;7794881.43;8110265838.59;08.ноя
15.07.2024;8654086.29;8100259204.82;08.окт
22.07.2024;9569771.86;7595347918.28;июл.60
29.07.2024;9328494.43;6986470218.37;июн.99
05.08.2024;8862864.86;5906736116.14;май.91
12.08.2024;8902453.29;6332952738.66;июн.33
19.08.2024;8907819.29;6720846972.27;июн.72
26.08.2024;9912894.57;5869517786.42;май.87
02.09.2024;11323197.43;6263825549.23;июн.26
09.09.2024;13821985.00;6736704126.94;июн.74
16.09.2024;16135638.71;6728036047.42;июн.73
23.09.2024;17948653.43;7224886906.68;июл.22
30.09.2024;19801830.29;6874098913.40;июн.87
07.10.2024;20465812.71;7639564139.19;июл.64
14.10.2024;19402266.14;7629474567.26;июл.63
21.10.2024;17439166.57;7712501259.81;июл.71
28.10.2024;15204095.71;7632285609.87;июл.63
04.11.2024;13326156.43;8498651406.06;авг.50
11.11.2024;12809042.86;8789786336.89;авг.79
18.11.2024;13893313.71;9745406950.53;сен.75
25.11.2024;14458791.14;12386752104.57;дек.39
02.12.2024;14892820.86;16337248612.98;16.34
09.12.2024;15970444.14;16759624432.24;16.76
16.12.2024;16058950.29;14439809870.18;14.44
23.12.2024;17182599.14;13695770321.07;13.70
30.12.2024;17925188.00;14297806535.82;14.30
06.01.2025;17453736.29;13685602547.24;13.69
13.01.2025;16150785.29;13912696064.28;13.91
20.01.2025;14822491.71;12655277191.40;дек.66
27.01.2025;14873886.57;11088839465.27;11.сен
03.02.2025;14777659.71;9220748515.25;сен.22
10.02.2025;14704612.71;9725930930.36;сен.73
17.02.2025;14278675.71;9300076148.28;сен.30
24.02.2025;13315400.14;7893363430.87;июл.89
03.03.2025;12871452.29;7067345404.59;07.июл
10.03.2025;12605839.29;6043828592.68;06.апр
17.03.2025;12916480.00;6675745983.11;июн.68
24.03.2025;13388831.29;6495711111.14;июн.50
31.03.2025;13466425.14;5829939563.88;май.83
